Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,0,0.0,SAT,,0.08,
2,2,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.027,
3,3,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.032,
4,4,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.028,
5,5,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.027,
6,6,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.026,
7,7,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.026,
8,8,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.027,
9,9,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.026,
10,10,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.026,
11,11,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.026,
12,12,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.026,
13,13,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,2,0.0,SAT,,0.031,
14,14,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,2,0.0,SAT,,0.026,
15,15,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,2,0.0,SAT,,0.03,
16,16,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,2,0.0,SAT,,0.026,
17,17,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,2,0.0,SAT,,0.027,
18,18,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,2,0.0,SAT,,0.026,
19,19,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,2,0.0,SAT,,0.026,
20,20,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,2,0.0,SAT,,0.026,
21,21,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,2,0.0,SAT,,0.03,
22,22,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,2,0.0,SAT,,0.026,
23,23,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,3,0.0,SAT,,0.026,
24,24,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,3,0.0,SAT,,0.026,
25,25,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,3,0.0,SAT,,0.026,
26,26,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,3,0.0,SAT,,0.027,
27,27,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,3,0.0,SAT,,0.026,
28,28,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,3,0.0,SAT,,0.026,
29,29,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,3,0.0,SAT,,0.026,
30,30,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,3,0.0,SAT,,0.026,
31,31,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,3,0.0,SAT,,0.026,
32,32,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,3,0.0,SAT,,0.026,
33,33,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,4,0.0,SAT,,0.026,
34,34,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,4,0.0,SAT,,0.031,
35,35,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,4,0.0,SAT,,0.03,
36,36,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,4,0.0,SAT,,0.026,
37,37,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,4,0.0,SAT,,0.027,
38,38,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,4,0.0,SAT,,0.026,
39,39,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,4,0.0,SAT,,0.027,
40,40,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,4,0.0,SAT,,0.026,
41,41,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,4,0.0,SAT,,0.026,
42,42,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,4,0.0,SAT,,0.026,
43,43,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,4,0.0,SAT,,0.029,
