Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,90.0,0,10.0,-1,0.0,0.0,1,90.0,0,0.0,SAT,-1,0.56,
2,2,1,97.0,0,10.0,-1,0.0,0.0,1,97.0,1,0.0,SAT,-1,0.505,
3,3,1,56.0,0,10.0,-1,0.0,0.0,1,56.0,1,0.0,SAT,-1,0.506,
4,4,1,51.0,0,10.0,-1,0.0,0.0,1,51.0,1,0.0,SAT,-1,0.507,
5,5,1,42.0,0,10.0,-1,0.0,0.0,1,42.0,1,0.0,SAT,-1,0.504,
6,6,1,59.0,0,10.0,-1,0.0,0.0,1,59.0,1,0.0,SAT,-1,0.504,
7,7,1,26.0,0,10.0,-1,0.0,0.0,1,26.0,1,0.0,SAT,-1,0.505,
8,8,1,76.0,0,10.0,-1,0.0,0.0,1,76.0,1,0.0,SAT,-1,0.505,
9,9,1,95.0,0,10.0,-1,0.0,0.0,1,95.0,1,0.0,SAT,-1,0.505,
10,10,1,43.0,0,10.0,-1,0.0,0.0,1,43.0,1,0.0,SAT,-1,0.509,
11,11,1,85.0,0,10.0,-1,0.0,0.0,1,85.0,1,0.0,SAT,-1,0.505,
12,12,1,51.0,0,10.0,-1,0.0,0.0,1,51.0,1,0.0,SAT,-1,0.506,
13,13,1,66.0,0,10.0,-1,0.0,0.0,1,66.0,2,0.0,SAT,-1,0.506,
14,14,1,80.0,0,10.0,-1,0.0,0.0,1,80.0,2,0.0,SAT,-1,0.507,
15,15,1,66.0,0,10.0,-1,0.0,0.0,1,66.0,2,0.0,SAT,-1,0.506,
16,16,1,98.0,0,10.0,-1,0.0,0.0,1,98.0,2,0.0,SAT,-1,0.507,
17,17,1,97.0,0,10.0,-1,0.0,0.0,1,97.0,2,0.0,SAT,-1,0.505,
18,18,1,66.0,0,10.0,-1,0.0,0.0,1,66.0,2,0.0,SAT,-1,0.506,
19,19,1,100.0,0,10.0,-1,0.0,0.0,1,100.0,2,0.0,SAT,-1,0.505,
20,20,1,65.0,0,10.0,-1,0.0,0.0,1,65.0,2,0.0,SAT,-1,0.503,
21,21,1,85.0,0,10.0,-1,0.0,0.0,1,85.0,2,0.0,SAT,-1,0.509,
22,22,1,65.0,0,10.0,-1,0.0,0.0,1,65.0,2,0.0,SAT,-1,0.505,
23,23,1,43.0,0,10.0,-1,0.0,0.0,1,43.0,3,0.0,SAT,-1,0.506,
24,24,1,88.0,0,10.0,-1,0.0,0.0,1,88.0,3,0.0,SAT,-1,0.505,
25,25,1,44.0,0,10.0,-1,0.0,0.0,1,44.0,3,0.0,SAT,-1,0.505,
26,26,1,84.0,0,10.0,-1,0.0,0.0,1,84.0,3,0.0,SAT,-1,0.505,
27,27,1,45.0,0,10.0,-1,0.0,0.0,1,45.0,3,0.0,SAT,-1,0.505,
28,28,1,33.0,0,10.0,-1,0.0,0.0,1,33.0,3,0.0,SAT,-1,0.505,
29,29,1,45.0,0,10.0,-1,0.0,0.0,1,45.0,3,0.0,SAT,-1,0.505,
30,30,1,48.0,0,10.0,-1,0.0,0.0,1,48.0,3,0.0,SAT,-1,0.51,
31,31,1,78.0,0,10.0,-1,0.0,0.0,1,78.0,3,0.0,SAT,-1,0.504,
32,32,1,49.0,0,10.0,-1,0.0,0.0,1,49.0,3,0.0,SAT,-1,0.505,
33,33,1,37.0,0,10.0,-1,0.0,0.0,1,37.0,4,0.0,SAT,-1,0.505,
34,34,1,97.0,0,10.0,-1,0.0,0.0,1,97.0,4,0.0,SAT,-1,0.503,
35,35,1,37.0,0,10.0,-1,0.0,0.0,1,37.0,4,0.0,SAT,-1,0.505,
36,36,1,24.0,0,10.0,-1,0.0,0.0,1,24.0,4,0.0,SAT,-1,0.506,
37,37,1,47.0,0,10.0,-1,0.0,0.0,1,47.0,4,0.0,SAT,-1,0.506,
38,38,1,37.0,0,10.0,-1,0.0,0.0,1,37.0,4,0.0,SAT,-1,0.506,
39,39,1,86.0,0,10.0,-1,0.0,0.0,1,86.0,4,0.0,SAT,-1,0.504,
40,40,1,64.0,0,10.0,-1,0.0,0.0,1,64.0,4,0.0,SAT,-1,0.504,
